#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2023-06-21-10-42-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1602054814.861516	CIrzMR2J71idKZePO5	198.232.186.10	455	131.243.64.11	123	3	3	5	1024.000000	0.000000	0.011978	0.171158	10.1.128.12	1602053804.980846	1602053790.833086	1602053790.836126	1602054814.855849	0
1602054814.862203	CIrzMR2J71idKZePO5	198.232.186.10	455	131.243.64.11	123	3	4	1	1024.000000	0.000000	0.000000	0.001114	GPS\x00	1602054806.276066	1602054814.855849	1602054814.861940	1602054814.861997	0
1602054814.877103	C3sMlq3bWgNOC6LmN2	198.232.186.10	455	131.243.64.12	123	3	3	5	1024.000000	0.000000	0.012894	0.117249	10.1.128.12	1602054814.856443	1602053790.848634	1602053790.851755	1602054814.871447	0
1602054814.877752	C3sMlq3bWgNOC6LmN2	198.232.186.10	455	131.243.64.12	123	3	4	1	1024.000000	0.000000	0.000000	0.001221	GPS\x00	1602054800.275810	1602054814.871447	1602054814.877546	1602054814.877561	0
1602054818.451064	CA6PJz3oOcJSsnXhff	198.232.186.10	57	131.243.64.11	123	3	3	5	1024.000000	0.000000	0.014099	0.125000	10.1.128.12	1602054818.432654	1602053794.431066	1602053794.439140	1602054818.448658	0
1602054818.452252	CA6PJz3oOcJSsnXhff	198.232.186.10	57	131.243.64.11	123	3	4	1	1024.000000	0.000000	0.000000	0.001175	GPS\x00	1602054806.276066	1602054818.448658	1602054818.451941	1602054818.451988	0
1602054818.482348	CDT3J84YxYV2a4Rbhc	198.232.186.10	57	131.243.64.12	123	3	3	5	1024.000000	0.000000	0.014099	0.125000	10.1.128.12	1602054818.432951	1602053794.462635	1602053794.470659	1602054818.479955	0
1602054818.482762	CDT3J84YxYV2a4Rbhc	198.232.186.10	57	131.243.64.12	123	3	4	1	1024.000000	0.000000	0.000000	0.001038	GPS\x00	1602054816.275866	1602054818.479955	1602054818.482547	1602054818.482564	0
1602054821.334654	CC4gL635YrYGi8YM37	198.232.186.10	89	131.243.64.11	123	3	3	6	1024.000000	0.000000	0.045898	1.306122	192.168.128.12	1602054820.788115	1602053796.781067	1602053796.821546	1602054820.835118	0
1602054821.335209	CC4gL635YrYGi8YM37	198.232.186.10	89	131.243.64.11	123	3	4	1	1024.000000	0.000000	0.000000	0.001221	GPS\x00	1602054806.276066	1602054820.835118	1602054821.334941	1602054821.334999	0
